"Category","Subcategory","Text","Severity","WAF","GUID"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Entra ID Tenants","Use one Entra tenant for managing your Azure resources, unless you have a clear regulatory or business requirement for m","Medium","Operations","70c15989-c726-42c7-b0d3-24b7375b9201"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Entra ID Tenants","Use Multi-Tenant Automation approach to managing your Microsoft Entra ID Tenants.","Low","Operations","6309957b-821a-43d1-b9d9-7fcf1802b747"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Entra ID Tenants","Use Azure Lighthouse for Multi-Tenant Management with the same IDs.","High","Operations","78e11934-499a-45ed-8ef7-aae5578f0ecf"
"Azure Billing and Microsoft Entra ID Tenants","Cloud Solution Provider","If you give a partner access to administer your tenant, use Azure Lighthouse.","High","Cost","5d82e6df-6f61-42f2-82e2-3132d293be3d"
"Azure Billing and Microsoft Entra ID Tenants","Cloud Solution Provider","If you have a CSP partner, define and document your support request and escalation process.","Low","Cost","a24d0de3-d4b9-4dfb-8ddd-bbfaf123fa01"
"Azure Billing and Microsoft Entra ID Tenants","Cloud Solution Provider","Setup Cost Reporting and Views with Azure Cost Management.","Medium","Cost","32952499-58c8-4e6f-ada5-972e67893d55"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Set up a Notification Contact email address to ensure notifications are sent to an appropriate group mailbox.","Medium","Cost","685cb4f2-ac9c-4b19-9167-993ed0b32415"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Use departments and accounts to map your organization's structure to your enrollment hierarchy which can help with separ","Low","Cost","12cd499f-96e2-4e41-a243-231fb3245a1c"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Assign a budget for each department and account, and establish an alert associated with the budget.","Low","Cost","54f0d8b1-22a3-4c0d-8ce2-58b9e086c93a"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Enable both DA View Charges and AO View Charges on your EA Enrollments to allow users with the correct permissions to re","Medium","Security","ca0fe401-12ad-46fc-8a7e-86293866a9f6"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Use of Enterprise Dev/Test Subscriptions to reduce costs for non-production workloads.","Low","Cost","5cf9f485-2784-49b3-9824-75d9b8bdb57b"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Configure Agreement billing account notification contact email.","Low","Cost","6ad5c3dd-e5ea-4ff1-81a4-7886ff87845c"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Use Billing Profiles and Invoice sections to structure your agreements billing for effective cost management.","Low","Cost","90e87802-602f-4dfb-acea-67c60689f1d7"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Make use of Microsoft Azure plan for dev/test offer to reduce costs for non-production workloads.","Low","Cost","e81a73f0-84c4-4641-b406-14db3b4d1f50"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Define and document a process to periodically audit the agreement billing RBAC role assignments to review who has access","Medium","Cost","ae757485-92a4-482a-8bc9-eefe6f5b5ec3"
"Identity and Access Management","Identity","Enforce a RBAC model that aligns to your cloud operating model. Scope and Assign across Management Groups and Subscripti","High","Security","348ef254-c27d-442e-abba-c7571559ab91"
